description,insurance_type,claim_type,severity,department
Извършено е лечение в спешно отделение. Налични са снимки на увредените части.,Health,Emergency treatment,Critical,Health Claims
По първоначална информация На паркинг неизвестен автомобил е ударил колата и е повредена вратата. Необходима е допълнителна проверка на обстоятелствата.,Auto,Collision,Medium,Motor Claims
По първоначална информация Автомобилът е наводнен след проливен дъжд. Налични са снимки на увредените части.,Auto,Flood,High,Motor Claims
"В уведомлението е посочено, че Издаден е болничен лист след инцидент.",Accident,Temporary disability,High,Accident Claims
"Клиентът съобщава, че Клиентът е потърсил лекарска помощ в чужбина. Подадено е уведомление към застрахователя.",Travel,Medical expenses,Medium,Travel Claims
"В уведомлението е посочено, че Багажът не е пристигнал на летището.",Travel,Lost baggage,Medium,Travel Claims
"Клиентът съобщава, че Има допълнителни разходи поради забавен полет. Необходима е допълнителна проверка на обстоятелствата.",Travel,Flight delay,Low,Travel Claims
"В уведомлението е посочено, че Клиентът е пропуснал връзка заради закъснение. Необходима е допълнителна проверка на обстоятелствата.",Travel,Flight delay,Low,Travel Claims
По първоначална информация Има пукнатина на челното стъкло след удар от предмет. Подадено е уведомление към застрахователя.,Auto,Glass damage,Medium,Motor Claims
По автомобила има множество следи от градушка. Клиентът представя документи за събитието.,Auto,Hail,Medium,Motor Claims
"Клиентът съобщава, че Има пукнатина на челното стъкло след удар от предмет. Подадено е уведомление към застрахователя.",Auto,Glass damage,Medium,Motor Claims
"В уведомлението е посочено, че Подадена е претенция за възстановяване на разходи за операция. Налични са снимки на увредените части.",Health,Surgery,Critical,Health Claims
По първоначална информация Автомобилът се е ударил в животно на пътя.,Auto,Animal collision,High,Motor Claims
Подадена е претенция за смъртно обезщетение.,Accident,Death benefit,Critical,Accident Claims
Покривът е повреден след силен вятър. Налични са снимки на увредените части.,Property,Roof damage,High,Property Claims
По първоначална информация Трето лице е пострадало по вина на застрахования.,Liability,Bodily injury,High,Liability Claims
"Клиентът съобщава, че Издаден е болничен лист след инцидент.",Accident,Temporary disability,Medium,Accident Claims
"Клиентът съобщава, че Медицинска комисия е определила трайна загуба на работоспособност. Клиентът представя документи за събитието.",Accident,Permanent disability,High,Accident Claims
"В уведомлението е посочено, че Колата е била паркирана в подземен гараж при наводнение. Налични са снимки на увредените части.",Auto,Flood,Critical,Motor Claims
"Клиентът съобщава, че След спукана тръба са увредени мебели и стени.",Property,Flood,Medium,Property Claims
"В уведомлението е посочено, че При ремонт са повредени вещи на трето лице. Подадено е уведомление към застрахователя.",Liability,Property damage,High,Liability Claims
"Клиентът съобщава, че След силна градушка автомобилът има вдлъбнатини по капака и покрива. Необходима е допълнителна проверка на обстоятелствата.",Auto,Hail,Medium,Motor Claims
"Клиентът съобщава, че По автомобила има множество следи от градушка. Подадено е уведомление към застрахователя.",Auto,Hail,Low,Motor Claims
Клиентът е получил лечение в болница в чужбина. Подадено е уведомление към застрахователя.,Travel,Medical expenses,High,Travel Claims
"В уведомлението е посочено, че Издаден е болничен лист след инцидент.",Accident,Temporary disability,High,Accident Claims
По първоначална информация Пострадал е посетител в обект на застрахования. Налични са снимки на увредените части.,Liability,Bodily injury,High,Liability Claims
По първоначална информация Силен вятър е повредил прозорци и външна изолация.,Property,Storm,High,Property Claims
Багажът е доставен със закъснение от два дни. Подадено е уведомление към застрахователя.,Travel,Delayed baggage,Medium,Travel Claims
"В уведомлението е посочено, че Клиентът е получил счупване на ръка след падане.",Accident,Fracture,Medium,Accident Claims
Клиентът е пропуснал връзка заради закъснение. Налични са снимки на увредените части.,Travel,Flight delay,Medium,Travel Claims
По първоначална информация Сградата е получила конструктивни повреди след трус. Необходима е допълнителна проверка на обстоятелствата.,Property,Earthquake,Critical,Property Claims
По първоначална информация От жилището са откраднати техника и лични вещи. Налични са снимки на увредените части.,Property,Theft,Medium,Property Claims
По време на пътуване са направени медицински разходи. Налични са снимки на увредените части.,Travel,Medical expenses,High,Travel Claims
Закупени са лекарства по лекарско предписание.,Health,Medication reimbursement,Medium,Health Claims
"Клиентът съобщава, че Необходима е спешна евакуация по медицински причини. Налични са снимки на увредените части.",Travel,Emergency evacuation,High,Travel Claims
"В уведомлението е посочено, че След теч от тръба е повреден ламинатът. Подадено е уведомление към застрахователя.",Property,Burst pipe,High,Property Claims
"Клиентът съобщава, че След удар с диво животно има повредена броня и радиатор. Клиентът представя документи за събитието.",Auto,Animal collision,Medium,Motor Claims
Спукана тръба е причинила щети по стените и тавана. Клиентът представя документи за събитието.,Property,Burst pipe,High,Property Claims
Медицинска комисия е определила трайна загуба на работоспособност. Клиентът представя документи за събитието.,Accident,Permanent disability,Critical,Accident Claims
Пожар е унищожил част от кухнята. Клиентът представя документи за събитието.,Property,Fire,Critical,Property Claims
"Клиентът съобщава, че Друг водач е отнел предимство и е ударил автомобила отстрани. Налични са снимки на увредените части.",Auto,Side collision,High,Motor Claims
По първоначална информация Силен вятър е повредил прозорци и външна изолация.,Property,Storm,High,Property Claims
"В уведомлението е посочено, че Пожар е унищожил купето на автомобила.",Auto,Fire,High,Motor Claims
Издаден е болничен лист след инцидент. Необходима е допълнителна проверка на обстоятелствата.,Accident,Temporary disability,High,Accident Claims
Градушка е счупила предното стъкло и е нанесла щети по боята. Подадено е уведомление към застрахователя.,Auto,Hail,Medium,Motor Claims
"В уведомлението е посочено, че Пострадалият не може да работи временно след травма. Подадено е уведомление към застрахователя.",Accident,Temporary disability,Medium,Accident Claims
"Клиентът съобщава, че Къщата е засегната от пожар и има опушени стени. Необходима е допълнителна проверка на обстоятелствата.",Property,Fire,Critical,Property Claims
Паднали керемиди са причинили щети по тавана.,Property,Roof damage,High,Property Claims
По първоначална информация Багажът е доставен със закъснение от два дни. Налични са снимки на увредените части.,Travel,Delayed baggage,Low,Travel Claims
"Клиентът съобщава, че Друг водач е отнел предимство и е ударил автомобила отстрани. Клиентът представя документи за събитието.",Auto,Side collision,Medium,Motor Claims
"Клиентът съобщава, че В жилището е възникнал пожар и са повредени мебели и електроуреди.",Property,Fire,Critical,Property Claims
Полетът е отменен и клиентът е направил допълнителни разходи. Подадено е уведомление към застрахователя.,Travel,Flight cancellation,Medium,Travel Claims
"Клиентът съобщава, че Автомобилът е ударен странично на кръстовище. Подадено е уведомление към застрахователя.",Auto,Side collision,High,Motor Claims
"Клиентът съобщава, че Автомобилът е изгорял частично след техническа неизправност. Необходима е допълнителна проверка на обстоятелствата.",Auto,Fire,Critical,Motor Claims
Автомобилът е наводнен след проливен дъжд. Клиентът представя документи за събитието.,Auto,Flood,Critical,Motor Claims
"В уведомлението е посочено, че Причинена е телесна повреда на друго лице. Клиентът представя документи за събитието.",Liability,Bodily injury,High,Liability Claims
"В уведомлението е посочено, че В двигателния отсек е възникнал пожар и автомобилът е силно увреден. Клиентът представя документи за събитието.",Auto,Fire,High,Motor Claims
По първоначална информация Счупено е страничното стъкло на автомобила. Клиентът представя документи за събитието.,Auto,Glass damage,Low,Motor Claims
Повредена е електроника след късо съединение. Необходима е допълнителна проверка на обстоятелствата.,Property,Electrical damage,Medium,Property Claims
По първоначална информация Покривът е повреден след силен вятър.,Property,Roof damage,Medium,Property Claims
"В уведомлението е посочено, че При движение извън града е настъпил сблъсък с животно. Подадено е уведомление към застрахователя.",Auto,Animal collision,High,Motor Claims
"В уведомлението е посочено, че Причинена е телесна повреда на друго лице. Подадено е уведомление към застрахователя.",Liability,Bodily injury,Critical,Liability Claims
"В уведомлението е посочено, че Повредена е електроника след късо съединение. Необходима е допълнителна проверка на обстоятелствата.",Property,Electrical damage,Low,Property Claims
По първоначална информация Счупено е огледало и има следи от вандализъм. Налични са снимки на увредените части.,Auto,Vandalism,Medium,Motor Claims
Апартаментът е наводнен след авария в банята. Клиентът представя документи за събитието.,Property,Flood,High,Property Claims
След инцидент е установена фрактура на крак. Клиентът представя документи за събитието.,Accident,Fracture,High,Accident Claims
Багажът не е пристигнал на летището.,Travel,Lost baggage,High,Travel Claims
Възникнали са съдебни разноски по застрахователен спор. Клиентът представя документи за събитието.,Liability,Legal expenses,High,Liability Claims
"В уведомлението е посочено, че Вода от съседен имот е повредила подовата настилка. Налични са снимки на увредените части.",Property,Flood,High,Property Claims
"В уведомлението е посочено, че Сградата е получила конструктивни повреди след трус. Налични са снимки на увредените части.",Property,Earthquake,High,Property Claims
"В уведомлението е посочено, че Водачът е изгубил контрол и се е ударил в мантинела в София.",Auto,Collision,Medium,Motor Claims
"Клиентът съобщава, че При ремонт са повредени вещи на трето лице. Подадено е уведомление към застрахователя.",Liability,Property damage,High,Liability Claims
"В уведомлението е посочено, че Къщата е засегната от пожар и има опушени стени.",Property,Fire,High,Property Claims
"В уведомлението е посочено, че Вода от съседен имот е повредила подовата настилка.",Property,Flood,Medium,Property Claims
"Клиентът съобщава, че Подадена е претенция за смъртно обезщетение. Необходима е допълнителна проверка на обстоятелствата.",Accident,Death benefit,Critical,Accident Claims
"Клиентът съобщава, че След инцидент е установена фрактура на крак.",Accident,Fracture,High,Accident Claims
"В уведомлението е посочено, че Настъпила е смърт вследствие на злополука. Подадено е уведомление към застрахователя.",Accident,Death benefit,Critical,Accident Claims
По първоначална информация Сградата е получила конструктивни повреди след трус. Клиентът представя документи за събитието.,Property,Earthquake,Critical,Property Claims
"Клиентът съобщава, че Медицинска комисия е определила трайна загуба на работоспособност.",Accident,Permanent disability,Critical,Accident Claims
По първоначална информация Покривът е повреден след силен вятър. Подадено е уведомление към застрахователя.,Property,Roof damage,High,Property Claims
"В уведомлението е посочено, че След сблъсък между два автомобила има щети по калника и фара. Клиентът представя документи за събитието.",Auto,Collision,Medium,Motor Claims
Подадена е претенция за смъртно обезщетение.,Accident,Death benefit,Critical,Accident Claims
"В уведомлението е посочено, че Застрахованото лице е починало след тежък инцидент. Необходима е допълнителна проверка на обстоятелствата.",Accident,Death benefit,Critical,Accident Claims
По първоначална информация Извършено е лечение в спешно отделение. Клиентът представя документи за събитието.,Health,Emergency treatment,High,Health Claims
"В уведомлението е посочено, че Клиентът е останал без багаж при пристигане. Клиентът представя документи за събитието.",Travel,Delayed baggage,Medium,Travel Claims
"В уведомлението е посочено, че Колата е била паркирана в подземен гараж при наводнение. Подадено е уведомление към застрахователя.",Auto,Flood,High,Motor Claims
По първоначална информация Автомобилът е ударен отзад пред жилищен блок и има повреди по бронята.,Auto,Collision,Medium,Motor Claims
"В уведомлението е посочено, че Токов удар е повредил телевизор и компютър. Налични са снимки на увредените части.",Property,Electrical damage,Low,Property Claims
По първоначална информация Авиокомпанията е анулирала полета в деня на пътуването. Подадено е уведомление към застрахователя.,Travel,Flight cancellation,Medium,Travel Claims
"Клиентът съобщава, че Автомобилът се е ударил в животно на пътя.",Auto,Animal collision,Medium,Motor Claims
"В уведомлението е посочено, че Автомобилът е ударен отзад на светофар и задната броня е счупена. Клиентът представя документи за събитието.",Auto,Rear-end collision,Medium,Motor Claims
"В уведомлението е посочено, че Подадени са документи за лечение в болница. Клиентът представя документи за събитието.",Health,Hospitalization,Medium,Health Claims
"В уведомлението е посочено, че Водопроводна авария е наводнила коридора. Клиентът представя документи за събитието.",Property,Burst pipe,High,Property Claims
"В уведомлението е посочено, че Клиентът съобщава за удар отзад и повреден багажник.",Auto,Rear-end collision,High,Motor Claims
"В уведомлението е посочено, че След земетресение има пукнатини по стените.",Property,Earthquake,High,Property Claims
"Клиентът съобщава, че Предното стъкло е спукано от камък по време на движение. Подадено е уведомление към застрахователя.",Auto,Glass damage,Low,Motor Claims
Багажът не е пристигнал на летището. Необходима е допълнителна проверка на обстоятелствата.,Travel,Lost baggage,High,Travel Claims
Счупено е огледало и има следи от вандализъм. Подадено е уведомление към застрахователя.,Auto,Vandalism,Low,Motor Claims
"Клиентът съобщава, че Необходими са адвокатски разходи за защита.",Liability,Legal expenses,Medium,Liability Claims
"Клиентът съобщава, че Паднали керемиди са причинили щети по тавана. Подадено е уведомление към застрахователя.",Property,Roof damage,Medium,Property Claims
По първоначална информация Авиокомпанията е загубила регистрирания багаж. Клиентът представя документи за събитието.,Travel,Lost baggage,High,Travel Claims
"В уведомлението е посочено, че От жилището са откраднати техника и лични вещи. Подадено е уведомление към застрахователя.",Property,Theft,Medium,Property Claims
"Клиентът съобщава, че Извършено е амбулаторно лечение. Необходима е допълнителна проверка на обстоятелствата.",Health,Outpatient treatment,Medium,Health Claims
"Клиентът съобщава, че Подадена е претенция за смъртно обезщетение. Необходима е допълнителна проверка на обстоятелствата.",Accident,Death benefit,Critical,Accident Claims
"Клиентът съобщава, че По време на пътуване са направени медицински разходи. Налични са снимки на увредените части.",Travel,Medical expenses,Medium,Travel Claims
"Клиентът съобщава, че Вода от съседен имот е повредила подовата настилка.",Property,Flood,High,Property Claims
"В уведомлението е посочено, че По автомобила има множество следи от градушка.",Auto,Hail,Medium,Motor Claims
По първоначална информация Силен вятър е повредил прозорци и външна изолация. Подадено е уведомление към застрахователя.,Property,Storm,High,Property Claims
По първоначална информация Паднали керемиди са причинили щети по тавана.,Property,Roof damage,High,Property Claims
"В уведомлението е посочено, че След силна градушка автомобилът има вдлъбнатини по капака и покрива. Необходима е допълнителна проверка на обстоятелствата.",Auto,Hail,Medium,Motor Claims
Клиентът е отговорен за материални щети към трета страна. Подадено е уведомление към застрахователя.,Liability,Property damage,Medium,Liability Claims
"В уведомлението е посочено, че Пострадалият не може да работи временно след травма. Клиентът представя документи за събитието.",Accident,Temporary disability,High,Accident Claims
Друг водач е отнел предимство и е ударил автомобила отстрани. Налични са снимки на увредените части.,Auto,Side collision,High,Motor Claims
Настъпила е смърт вследствие на злополука. Подадено е уведомление към застрахователя.,Accident,Death benefit,Critical,Accident Claims
Клиентът е временно нетрудоспособен след злополука. Клиентът представя документи за събитието.,Accident,Temporary disability,Medium,Accident Claims
Куфарът на клиента е изгубен по време на полет. Подадено е уведомление към застрахователя.,Travel,Lost baggage,High,Travel Claims
"Клиентът съобщава, че Необходима е спешна евакуация по медицински причини. Необходима е допълнителна проверка на обстоятелствата.",Travel,Emergency evacuation,Critical,Travel Claims
Къщата е засегната от пожар и има опушени стени.,Property,Fire,Critical,Property Claims
Пострадалият не може да работи временно след травма. Необходима е допълнителна проверка на обстоятелствата.,Accident,Temporary disability,High,Accident Claims
"Клиентът съобщава, че Пътуването е прекъснато поради отменен полет. Клиентът представя документи за събитието.",Travel,Flight cancellation,High,Travel Claims
По първоначална информация Представени са рецепта и фактура за медикаменти.,Health,Medication reimbursement,Low,Health Claims
"Клиентът съобщава, че Настъпила е смърт вследствие на злополука.",Accident,Death benefit,Critical,Accident Claims
"В уведомлението е посочено, че При движение извън града е настъпил сблъсък с животно. Клиентът представя документи за събитието.",Auto,Animal collision,High,Motor Claims
"В уведомлението е посочено, че Клиентът е бил хоспитализиран за няколко дни. Необходима е допълнителна проверка на обстоятелствата.",Health,Hospitalization,High,Health Claims
"В уведомлението е посочено, че При движение извън града е настъпил сблъсък с животно. Подадено е уведомление към застрахователя.",Auto,Animal collision,High,Motor Claims
"В уведомлението е посочено, че Авиокомпанията е загубила регистрирания багаж. Подадено е уведомление към застрахователя.",Travel,Lost baggage,High,Travel Claims
По първоначална информация Застрахованото лице е починало след тежък инцидент. Необходима е допълнителна проверка на обстоятелствата.,Accident,Death benefit,Critical,Accident Claims
"Клиентът съобщава, че Буря е нанесла щети по фасадата на къщата.",Property,Storm,High,Property Claims
"В уведомлението е посочено, че Има болничен престой след остро заболяване. Подадено е уведомление към застрахователя.",Health,Hospitalization,Medium,Health Claims
"Клиентът съобщава, че Представени са фактури за консултация и изследвания.",Health,Outpatient treatment,Medium,Health Claims
По първоначална информация При спиране в задръстване друг автомобил се е ударил отзад. Необходима е допълнителна проверка на обстоятелствата.,Auto,Rear-end collision,High,Motor Claims
"В уведомлението е посочено, че Има пукнатина на челното стъкло след удар от предмет. Необходима е допълнителна проверка на обстоятелствата.",Auto,Glass damage,Medium,Motor Claims
Клиентът е бил хоспитализиран за няколко дни. Необходима е допълнителна проверка на обстоятелствата.,Health,Hospitalization,High,Health Claims
"В уведомлението е посочено, че Извършена е хирургична интервенция по медицински показания. Клиентът представя документи за събитието.",Health,Surgery,Critical,Health Claims
По първоначална информация Извършена е хирургична интервенция по медицински показания. Налични са снимки на увредените части.,Health,Surgery,Critical,Health Claims
"Клиентът съобщава, че При ремонт са повредени вещи на трето лице. Необходима е допълнителна проверка на обстоятелствата.",Liability,Property damage,High,Liability Claims
"Клиентът съобщава, че При движение пред жилищен блок е настъпило ПТП със страничен удар. Налични са снимки на увредените части.",Auto,Collision,Medium,Motor Claims
